movement_cost,initial_b,treatment,b_trait,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,a,b,b_fraction,a_loss_tick,b_loss_tick,extinction_tick
3,72,neutral,250,1208,3000,70,4739,4749,1256,12716,375748,361776,250.0,1,1,107,0,70,1.0,85,,
3,72,neutral,250,1209,3000,53,4675,4702,1056,13012,367244,353176,250.0,1,1,123,53,0,0.0,,1655,
4,8,competition,1000,1200,3000,28,3991,4043,592,16076,315560,298892,250.0,1,1,149,28,0,0.0,,37,
4,8,competition,1000,1201,3000,61,3950,3969,1139,14120,317888,302629,250.0,1,1,127,61,0,0.0,,57,
4,8,competition,1000,1202,3000,33,3903,3950,702,13844,317232,302686,250.0,1,2,140,33,0,0.0,,53,
4,8,competition,1000,1203,3000,46,3999,4033,847,14896,326320,310577,250.0,1,1,140,46,0,0.0,,48,
4,8,competition,1000,1204,3000,43,3825,3862,964,14244,306028,290820,250.0,1,1,146,43,0,0.0,,47,
4,8,competition,1000,1205,3000,30,3995,4045,673,15308,323372,307391,250.0,1,1,144,30,0,0.0,,26,
4,8,competition,1000,1206,3000,44,4024,4060,891,13804,322384,307689,250.0,1,1,120,44,0,0.0,,63,
4,8,competition,1000,1207,3000,31,4076,4125,615,15860,332092,315617,250.0,1,1,137,31,0,0.0,,72,
4,8,competition,1000,1208,3000,72,3854,3862,1499,12428,310584,296657,250.0,1,1,122,72,0,0.0,,126,
4,8,competition,1000,1209,3000,59,3978,3999,1083,11592,322404,309729,250.0,1,1,124,59,0,0.0,,59,
4,8,neutral,250,1200,3000,42,3974,4012,926,15360,323320,307034,250.0,1,1,123,42,0,0.0,,106,
4,8,neutral,250,1201,3000,34,3863,3909,683,12284,314996,302029,250.0,1,1,137,34,0,0.0,,118,
4,8,neutral,250,1202,3000,77,4012,4015,1515,13368,319652,304769,250.0,1,1,130,77,0,0.0,,1042,
4,8,neutral,250,1203,3000,26,3944,3998,481,13908,321060,306671,250.0,1,1,130,26,0,0.0,,158,
4,8,neutral,250,1204,3000,40,3970,4010,894,12008,322664,309762,250.0,1,1,144,0,40,1.0,992,,
4,8,neutral,250,1205,3000,40,4087,4127,889,12476,332472,319107,250.0,1,1,114,40,0,0.0,,79,
4,8,neutral,250,1206,3000,44,4147,4183,820,12944,335440,321676,250.0,1,1,106,44,0,0.0,,783,
4,8,neutral,250,1207,3000,75,3967,3972,1294,12800,325908,311814,250.0,1,1,126,75,0,0.0,,314,
4,8,neutral,250,1208,3000,40,3823,3863,792,18748,318904,299364,250.0,1,2,123,40,0,0.0,,114,
4,8,neutral,250,1209,3000,32,4031,4079,635,15736,322168,305797,250.0,1,1,119,32,0,0.0,,836,
4,72,competition,1000,1200,3000,0,32,112,0,24576,34000,9424,,0,0,,0,0,,38,97,97
4,72,competition,1000,1201,3000,0,21,101,0,24576,33020,8444,,0,0,,0,0,,53,57,57
4,72,competition,1000,1202,3000,30,3552,3602,680,17620,290284,271984,250.0,1,1,143,30,0,0.0,,44,
4,72,competition,1000,1203,3000,0,22,102,0,24576,33388,8812,,0,0,,0,0,,50,43,50
4,72,competition,1000,1204,3000,30,2249,2299,597,12424,348552,335531,1000.0,1,1,114,0,30,1.0,98,,
4,72,competition,1000,1205,3000,55,3781,3806,1065,14092,307544,292387,250.0,1,1,125,55,0,0.0,,57,
4,72,competition,1000,1206,3000,67,3895,3908,1467,15904,316140,298769,250.0,1,1,142,67,0,0.0,,81,
4,72,competition,1000,1207,3000,61,3896,3915,1227,12524,313152,299401,250.0,1,1,149,61,0,0.0,,78,
4,72,competition,1000,1208,3000,0,20,100,0,24576,33432,8856,,0,0,,0,0,,117,69,117
4,72,competition,1000,1209,3000,0,28,108,0,24576,33384,8808,,0,0,,0,0,,36,68,68
4,72,neutral,250,1200,3000,42,3974,4012,926,15360,323320,307034,250.0,1,1,123,0,42,1.0,100,,
4,72,neutral,250,1201,3000,34,3863,3909,683,12284,314996,302029,250.0,1,1,137,0,34,1.0,79,,
4,72,neutral,250,1202,3000,77,4012,4015,1515,13368,319652,304769,250.0,1,1,130,0,77,1.0,328,,
4,72,neutral,250,1203,3000,26,3944,3998,481,13908,321060,306671,250.0,1,1,130,0,26,1.0,62,,
4,72,neutral,250,1204,3000,40,3970,4010,894,12008,322664,309762,250.0,1,1,144,0,40,1.0,60,,
4,72,neutral,250,1205,3000,40,4087,4127,889,12476,332472,319107,250.0,1,1,114,0,40,1.0,100,,
4,72,neutral,250,1206,3000,44,4147,4183,820,12944,335440,321676,250.0,1,1,106,0,44,1.0,130,,
4,72,neutral,250,1207,3000,75,3967,3972,1294,12800,325908,311814,250.0,1,1,126,75,0,0.0,,1186,
4,72,neutral,250,1208,3000,40,3823,3863,792,18748,318904,299364,250.0,1,2,123,29,11,0.275,,,
4,72,neutral,250,1209,3000,32,4031,4079,635,15736,322168,305797,250.0,1,1,119,0,32,1.0,386,,
