source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83003,0,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,6,-1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83003,0,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83003,0,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83003,1,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,6,-1,False,True,developed,invalid_to_valid,False,True,True,1,
83003,1,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,7,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83003,1,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,1,9,-1,False,True,developed,invalid_to_valid,False,True,True,-34,
83003,1,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83003,2,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,2,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
