arm,birth_threshold,renewal,seed,partition,ticks,actual_added,uncapped,discarded,expected_added,expected_cap_loss,expected_added_value,expected_cap_loss_value,actual_minus_expected,actual_minus_expected_value,realized_discard_fraction,expected_loss_fraction
block,160,rare-large,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1701,all,100,5592,6324,732,136373/25,17227/25,5454.92,689.08,3427/25,137.08,0.1157495256166983,0.11215494791666666
block,160,rare-large,1701,active,100,5592,6324,732,136373/25,17227/25,5454.92,689.08,3427/25,137.08,0.1157495256166983,0.11215494791666666
block,160,rare-large,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1702,all,100,5388,6288,900,26362/5,4358/5,5272.4,871.6,578/5,115.6,0.1431297709923664,0.14186197916666668
block,160,rare-large,1702,active,100,5388,6288,900,26362/5,4358/5,5272.4,871.6,578/5,115.6,0.1431297709923664,0.14186197916666668
block,160,rare-large,1702,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1703,all,100,4984,5700,716,137021/25,16579/25,5480.84,663.16,-12421/25,-496.84,0.1256140350877193,0.10793619791666667
block,160,rare-large,1703,active,100,4984,5700,716,137021/25,16579/25,5480.84,663.16,-12421/25,-496.84,0.1256140350877193,0.10793619791666667
block,160,rare-large,1703,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1704,all,100,5248,6060,812,268603/50,38597/50,5372.06,771.94,-6203/50,-124.06,0.13399339933993398,0.12564127604166667
block,160,rare-large,1704,active,100,5248,6060,812,268603/50,38597/50,5372.06,771.94,-6203/50,-124.06,0.13399339933993398,0.12564127604166667
block,160,rare-large,1704,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1705,all,100,5668,6396,728,129959/25,23641/25,5198.36,945.64,11741/25,469.64,0.11382113821138211,0.15391276041666666
block,160,rare-large,1705,active,100,5668,6396,728,129959/25,23641/25,5198.36,945.64,11741/25,469.64,0.11382113821138211,0.15391276041666666
block,160,rare-large,1705,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1706,all,100,5328,6060,732,130469/25,23131/25,5218.76,925.24,2731/25,109.24,0.12079207920792079,0.15059244791666668
block,160,rare-large,1706,active,100,5328,6060,732,130469/25,23131/25,5218.76,925.24,2731/25,109.24,0.12079207920792079,0.15059244791666668
block,160,rare-large,1706,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1707,all,100,5020,5652,632,274649/50,32551/50,5492.98,651.02,-23649/50,-472.98,0.11181882519462137,0.10596028645833333
block,160,rare-large,1707,active,100,5020,5652,632,274649/50,32551/50,5492.98,651.02,-23649/50,-472.98,0.11181882519462137,0.10596028645833333
block,160,rare-large,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1708,all,100,5388,6252,864,133056/25,20544/25,5322.24,821.76,1644/25,65.76,0.1381957773512476,0.13375
block,160,rare-large,1708,active,100,5388,6252,864,133056/25,20544/25,5322.24,821.76,1644/25,65.76,0.1381957773512476,0.13375
block,160,rare-large,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1709,all,100,5124,5904,780,133973/25,19627/25,5358.92,785.08,-5873/25,-234.92,0.13211382113821138,0.12777994791666666
block,160,rare-large,1709,active,100,5124,5904,780,133973/25,19627/25,5358.92,785.08,-5873/25,-234.92,0.13211382113821138,0.12777994791666666
block,160,rare-large,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
